exp,bucket,bge_acc,bge_acc_std,bge_f1,bge_f1_std,inlegal_acc,inlegal_acc_std,inlegal_f1,inlegal_f1_std
hierarchical_enc,motor_accidents,0.8439,0.0057,0.8157,0.0112,0.8295,0.0058,0.8058,0.007
hierarchical_enc,sexual_offences,0.778,0.0083,0.7557,0.0048,0.7589,0.016,0.7339,0.0123
hierarchical_enc,cross_bucket,0.7811,0.0033,0.7754,0.0026,0.7584,0.006,0.7501,0.0042
section_sep_enc,family_matrimonial,0.827,0.0093,0.8077,0.0096,0.8097,0.0045,0.792,0.0045
section_sep_enc,fin_fraud,0.7717,0.0119,0.7631,0.0136,0.7508,0.0073,0.7393,0.0064
section_sep_enc,land_property,0.8104,0.0093,0.7947,0.0087,0.7919,0.0134,0.7762,0.0099
section_sep_enc,motor_accidents,0.843,0.0072,0.8158,0.0025,0.8267,0.0106,0.8029,0.0089
section_sep_enc,sexual_offences,0.7745,0.0077,0.754,0.0069,0.7402,0.0367,0.7086,0.056
section_sep_enc,cross_bucket,0.7892,0.0093,0.7831,0.0086,0.7745,0.0046,0.7665,0.0043
section_sep_enc_lr_decay,family_matrimonial,0.8257,0.0083,0.8077,0.0095,0.8114,0.0063,0.7939,0.0065
section_sep_enc_lr_decay,fin_fraud,0.7689,0.011,0.7588,0.0125,0.7529,0.0038,0.7426,0.0055
section_sep_enc_lr_decay,land_property,0.8104,0.0059,0.7973,0.0058,0.7963,0.0082,0.7806,0.0089
section_sep_enc_lr_decay,motor_accidents,0.8431,0.0071,0.8159,0.0025,0.8232,0.0085,0.8003,0.0082
section_sep_enc_lr_decay,sexual_offences,0.7745,0.0077,0.754,0.0069,0.7472,0.0406,0.7110,0.0570
section_sep_enc_lr_decay,cross_bucket,0.8048,0.0039,0.7996,0.0037,0.7913,0.0040,0.7845,0.0032
case_node_minimised,family_matrimonial,0.8195,0.004,0.8006,0.0052,0.7994,0.0082,0.7798,0.0124
case_node_minimised,fin_fraud,0.7678,0.0092,0.7575,0.01,0.7237,0.0378,0.7086,0.05
case_node_minimised,land_property,0.8011,0.0078,0.7862,0.0058,0.7937,0.011,0.7763,0.013
case_node_minimised,motor_accidents,0.8423,0.0114,0.8192,0.0101,0.8231,0.007,0.8,0.0056
case_node_minimised,sexual_offences,0.775,0.0058,0.7514,0.0058,0.743,0.0046,0.722,0.0032
case_node_minimised,cross_bucket,0.7755,0.003,0.7697,0.0023,0.7553,0.0108,0.7477,0.0106
entity_resolved_section_sep_no_lr,family_matrimonial,0.8239,0.0067,0.8035,0.0088,,,,
entity_resolved_section_sep_no_lr,fin_fraud,0.7725,0.0061,0.7601,0.0088,,,,
entity_resolved_section_sep_no_lr,land_property,0.8091,0.008,0.7943,0.0086,,,,
entity_resolved_section_sep_no_lr,motor_accidents,0.845,0.0033,0.8187,0.0025,,,,
entity_resolved_section_sep_no_lr,sexual_offences,0.7792,0.0054,0.7556,0.0052,,,,
entity_resolved_section_sep_no_lr,cross_bucket,0.7876,0.0119,0.7815,0.0112,,,,
entity_resolved_section_sep_lr_decay,family_matrimonial,0.8241,0.0066,0.8045,0.0074,,,,
entity_resolved_section_sep_lr_decay,fin_fraud,0.772,0.0079,0.7605,0.0103,,,,
entity_resolved_section_sep_lr_decay,land_property,0.8078,0.0087,0.794,0.008,,,,
entity_resolved_section_sep_lr_decay,motor_accidents,0.8417,0.0037,0.8148,0.0062,,,,
entity_resolved_section_sep_lr_decay,sexual_offences,0.7765,0.0058,0.754,0.005,,,,
entity_resolved_section_sep_lr_decay,cross_bucket,0.8063,0.0055,0.8002,0.005,,,,
entity_resolved_section_sep_no_names_lr_decay,family_matrimonial,0.8032,0.0186,0.7853,0.0162,,,,
entity_resolved_section_sep_no_names_lr_decay,fin_fraud,0.7625,0.0105,0.7521,0.0099,,,,
entity_resolved_party_args_preamble_lr_decay,fin_fraud,0.7707,0.0129,0.7582,0.0161,,,,
entity_resolved_party_args_preamble_lr_decay,sexual_offences,0.7774,0.007,0.7524,0.0048,,,,
central_authorities_removed_section_sep_no_lr,family_matrimonial,0.8261,0.0073,0.8061,0.0075,,,,
central_authorities_removed_section_sep_no_lr,fin_fraud,0.7763,0.0119,0.7635,0.0163,,,,
central_authorities_removed_section_sep_no_lr,land_property,0.8092,0.006,0.7944,0.0052,,,,
central_authorities_removed_section_sep_no_lr,motor_accidents,0.8449,0.0027,0.8178,0.0032,,,,
central_authorities_removed_section_sep_no_lr,sexual_offences,0.7778,0.0084,0.7546,0.0081,,,,
central_authorities_removed_section_sep_no_lr,cross_bucket,0.788,0.0121,0.7817,0.0115,,,,
central_authorities_removed_section_sep_lr_decay,family_matrimonial,0.8272,0.0092,0.8072,0.0108,,,,
central_authorities_removed_section_sep_lr_decay,fin_fraud,0.7736,0.0101,0.761,0.0142,,,,
central_authorities_removed_section_sep_lr_decay,land_property,0.8109,0.0086,0.7951,0.009,,,,
central_authorities_removed_section_sep_lr_decay,motor_accidents,0.842,0.0052,0.8141,0.0064,,,,
central_authorities_removed_section_sep_lr_decay,sexual_offences,0.7709,0.0059,0.7498,0.0081,,,,
central_authorities_removed_section_sep_lr_decay,cross_bucket,0.8062,0.0048,0.7992,0.0046,,,,
central_authorities_removed_party_args_preamble_lr_decay,fin_fraud,0.7697,0.0104,0.7575,0.0128,,,,
